,min_dist,min_dur
1894,749.3,104.73
1895,529.9,73.89
1896,351.63,84.39
1897,1109.66,176.91
1898,438.13,94.21
1899,6026.24,697.17
1900,2095.44,354.62
1901,40366.18,2321.17
1902,1681.05,173.27
1903,1654.11,214.01
1904,43118.15,2342.25
1905,1579.06,227.42
1906,426.44,79.92
1907,459.95,95.59
1908,3849.73,465.38
1909,81602.4,4139.44
1910,2893.9,382.06
1911,1959.86,274.5
1912,5702.82,574.92
1913,159.53,34.31
1914,98105.02,4817.19
1915,23264.34,1434.16
1916,67897.37,4129.05
1917,2231.92,297.53
1918,528.68,85.45
1919,251.7,32.67
1920,610.45,97.7
1921,6464.87,687.06
1922,579.52,110.06
1923,98633.63,4398.59
1924,71307.47,3398.53
1925,1092.72,122.38
1926,1315.21,207.65
1927,42602.45,2492.89
1928,118349.59,5296.36
1929,287306.75,11241.85
1930,1115.64,169.23
1931,1493.5,233.72
1932,1150.82,156.87
1933,578.67,90.07
1934,638.31,82.49
1935,25537.93,1455.47
1936,1778.1,229.22
1937,532.04,71.95
1938,39959.45,1988.31
1939,700.6,129.28
1940,16275.8,1142.01
1941,287.54,42.03
1942,1353.17,206.38
1943,66194.89,4159.73
1944,1286.67,201.26
1945,39694.36,1940.61
1946,16861.38,1088.54
1947,2277.42,312.77
1948,16529.35,1188.69
1949,997.61,138.79
1950,720.79,101.96
1951,3960.8,378.85
1952,158597.81,7580.13
1953,2372.99,345.54
1954,7229.47,703.17
1955,1989.71,266.54
1956,1549.74,204.05
1957,753.04,100.9
1958,348.45,39.47
1959,349.31,67.51
1960,1359.93,194.72
1961,20334.12,1323.45
1962,1280.07,195.35
1963,44585.96,2435.26
1964,63249.69,4551.37
1965,43.52,10.44
1966,960.66,157.01
1967,67133.92,4065.56
1968,2211.83,207.79
1969,2065.83,252.67
1970,25859.11,1551.49
1971,1438.14,175.31
1972,9998.71,1014.43
1973,884.01,112.6
1974,459.63,46.24
1975,1169.66,216.84
1976,770.17,142.79
1977,2099.57,245.94
1978,1080.2,160.94
1979,3818.09,469.18
1980,2363.33,357.87
1981,2490.97,351.24
1982,1485.7,210.59
1983,334.1,77.86
1984,154090.78,7510.08
1985,7818.37,460.29
1986,2370.61,310.61
1987,1162.01,174.36
1988,4200.02,488.65
1989,1577.63,249.57
1990,171559.13,6667.99
1991,565.7,61.96
1992,37878.07,2203.71
1993,1016.73,217.23
1994,4958.8,546.49
1995,7857.86,630.66
1996,666.95,114.44
1997,482.02,77.17
1998,7494.38,678.02
1999,599.13,110.66
2000,100162.09,4485.77
2001,497.26,89.87
2002,660.13,101.42
2003,2787.25,373.1
2004,425.1,54.98
2005,7552.82,681.6
2006,4564.45,509.25
2007,491.76,96.98
2008,472.86,77.02
2009,829.98,106.26
2010,887.03,158.74
2011,7262.52,595.59
2012,1019.38,105.57
2013,42954.93,2322.66
2014,1493.5,233.72
2015,377.77,43.38
2016,845.09,147.46
2017,381.4,65.65
2018,642.97,117.3
2019,12114.22,995.27
2020,557.45,68.85
2021,1637.07,179.34
2022,3092.12,321.12
2023,501081.56,20344.23
2024,2371.68,285.05
2025,2251.42,233.04
2026,44874.01,2474.34
2027,1733.45,234.49
2028,1661.32,285.79
2029,460.45,59.89
2030,102532.17,4597.98
2031,460.45,59.89
2032,4007.74,411.32
2033,4007.74,411.32
2034,741.99,85.75
2035,103040.43,4627.99
2036,85741.64,4402.72
2037,1336.4,238.56
2038,930.13,129.05
2039,313.58,54.48
2040,642.97,117.3
2041,5997.19,709.14
2042,1751.1,170.4
2043,3756.63,356.54
2044,348.99,46.98
2045,284.5,40.76
2046,400.98,90.33
2047,14971.5,1302.19
2048,6726.53,808.99
2049,505235.09,20592.32
2050,805.37,121.34
2051,4033.13,362.41
2052,4315.29,441.55
2053,1809.72,273.35
2054,118931.99,5386.75
2055,1798.17,274.89
2056,463.31,55.84
2057,320.96,50.78
2058,615.81,105.01
2059,2123.66,255.85
2060,4143.3,484.52
2061,1412.37,141.78
2062,1569.97,246.66
2063,20002.64,1274.5
2064,40835.52,2037.54
2065,7158.99,442.13
2066,621.49,134.57
2067,1353.88,123.05
2068,854.91,147.2
2069,717.84,104.94
2070,1438.08,190.75
2071,829.14,125.62
2072,1621.91,261.24
2073,1048.14,105.12
2074,4859.99,457.55
2075,4473.19,446.34
2076,49151.02,2784.47
2077,54815.66,2578.92
2078,62748.99,3141.35
2079,94201.8,4351.35
2080,11271.76,925.61
2081,53739.45,2452.81
2082,1367.85,143.52
