suburb,postcode,latitude,longitude,isNewDevelopment,bathrooms,bedrooms,carspaces,propertyTypes,status,channel,price_per_week,time_to_nearest_train_station(min),distance_to_nearest_train_station(km),distance_to_nearest_school(km),time_to_nearest_school(min)
Williamstown,3016,-37.8654162,144.908494,False,2,2,1,apartmentUnitFlat,live,residential,675.0,1.61,0.44,0.48,1.01
Beaumaris,3193,-37.97768689999999,145.0404336,False,2,3,2,townhouse,live,residential,925.0,4.06,2.41,0.6,1.25
Dandenong North,3175,-37.9586314,145.2215911,False,1,3,3,house,live,residential,600.0,10.58,4.71,0.83,2.76
Delahey,3037,-37.7133085,144.7688852,False,2,3,2,house,live,residential,500.0,5.58,3.24,1.35,2.87
Carnegie,3163,-37.8854709,145.0622639,False,1,1,1,apartmentUnitFlat,live,residential,375.0,1.5,0.48,1.07,2.16
Lalor,3075,-37.6699797,144.9911339,False,2,4,1,house,live,residential,600.0,5.34,3.12,1.6,3.36
Echuca,3564,-36.1395918,144.7490935,False,1,2,1,house,live,residential,1517.0,2.59,1.74,1.42,2.27
St Kilda,3182,-37.8586706,144.9797411,False,2,2,1,apartmentUnitFlat,live,residential,700.0,5.07,1.72,0.2,0.72
Footscray,3011,-37.8010441,144.8851945,False,2,3,1,house,live,residential,790.0,2.5,0.81,0.73,2.15
Brunswick East,3057,-37.7752466,144.9724734,False,2,2,1,townhouse,live,residential,680.0,2.81,1.32,0.53,1.58
Wyndham Vale,3024,-37.8702195,144.6140696,False,2,3,2,house,live,residential,480.0,1.94,0.91,1.56,3.04
Chadstone,3148,-37.8834976,145.0980709,False,2,3,1,townhouse,live,residential,800.0,3.68,2.28,0.51,1.37
Southbank,3006,-37.8231578,144.9639532,False,1,2,0,apartmentUnitFlat,live,residential,760.0,3.81,1.3,1.01,2.73
Timboon,3268,-38.4819551,142.968525,False,1,3,3,house,live,residential,410.0,27.62,37.69,0.96,1.35
Seaford,3198,-38.0953668,145.1300802,False,2,4,3,house,live,residential,640.0,2.99,1.39,1.36,3.08
Brunswick,3056,-37.7611095,144.9580037,False,1,3,1,house,live,residential,750.0,1.4,0.6,0.83,1.41
Safety Beach,3936,-38.3081611,144.9959305,False,3,4,2,house,live,residential,900.0,23.28,22.18,7.79,10.56
South Yarra,3141,-37.8426742,144.9858449,False,1,2,0,apartmentUnitFlat,live,residential,550.0,2.39,1.09,0.17,0.4
Glen Waverley,3150,-37.8823073,145.1726711,False,2,4,1,house,live,residential,680.0,2.7,1.08,1.16,2.76
